Definition	Acronym	AcronymID
Uruguay Round Agreements Act of 1994                                                                                                                                                                                                                                                                                                                                                                            	URAA                               	732
United States Army                                                                                                                                                                                                                                                                                                                                                                                              	USA                                	733
United States Agency for International Development                                                                                                                                                                                                                                                                                                                                                              	USAID                              	734
Bureau of Reclamation (U.S. Department of the Interior)                                                                                                                                                                                                                                                                                                                                                         	USBR                               	735
United States Customs Service (U.S. Department of Homeland Security)                                                                                                                                                                                                                                                                                                                                            	USCS                               	736
United States Geological Survey                                                                                                                                                                                                                                                                                                                                                                                 	USGS                               	737
United States Information Agency                                                                                                                                                                                                                                                                                                                                                                                	USIA                               	738
United States International Trade Commission                                                                                                                                                                                                                                                                                                                                                                    	USITC                              	739
United States Marshals Service                                                                                                                                                                                                                                                                                                                                                                                  	USMS                               	740
United States Office of Personnel Management                                                                                                                                                                                                                                                                                                                                                                    	USOPM                              	741
United States Postal Service                                                                                                                                                                                                                                                                                                                                                                                    	USPS                               	742
United States Patent and Trademark Office (U.S. Department of Commerce)                                                                                                                                                                                                                                                                                                                                         	USPTO                              	743
United States Trade Representative                                                                                                                                                                                                                                                                                                                                                                              	USTR                               	744
verification/validation                                                                                                                                                                                                                                                                                                                                                                                         	V/V                                	745
voluntary action indicated                                                                                                                                                                                                                                                                                                                                                                                      	VAI                                	746
Vacancy Announcement Tracking System (PHS)                                                                                                                                                                                                                                                                                                                                                                      	VATS                               	747
voluntary country-of-origin labeling                                                                                                                                                                                                                                                                                                                                                                            	VCOOL                              	748
Veterans Health Administration                                                                                                                                                                                                                                                                                                                                                                                  	VHA                                	749
veterinary medical officer                                                                                                                                                                                                                                                                                                                                                                                      	VMO                                	750
visiting scientist                                                                                                                                                                                                                                                                                                                                                                                              	VS                                 	751
Vaccine Safety Datalink [project] (CDC)                                                                                                                                                                                                                                                                                                                                                                         	VSD                                	752
visual status of funds                                                                                                                                                                                                                                                                                                                                                                                          	VSOF                               	753
when-actually-employed                                                                                                                                                                                                                                                                                                                                                                                          	WAE                                	754
Web-based Submission Data Manager                                                                                                                                                                                                                                                                                                                                                                               	WebSDM                             	755
Workforce Equity and Diversity Action                                                                                                                                                                                                                                                                                                                                                                           	WEDA                               	756
water for injection	WFI	757
wage grade                                                                                                                                                                                                                                                                                                                                                                                                      	WG                                 	758
"[Special Supplemental Nutrition Program for] Women, Infants, and Children (USDA)                                                                                                                                                                                                                                                                                                                                "	WIC                                	759
within-grade increase                                                                                                                                                                                                                                                                                                                                                                                           	WIGI                               	760
Web-based Injury Statistics Query and Reporting System (CDC)                                                                                                                                                                                                                                                                                                                                                    	WISQARS                            	761
Washington Legal Foundation                                                                                                                                                                                                                                                                                                                                                                                     	WLF                                	762
Women's Network for Entrepreneurial Training (SBA)                                                                                                                                                                                                                                                                                                                                                              	WNET                               	763
with other natural flavors                                                                                                                                                                                                                                                                                                                                                                                      	WONF                               	764
year to date                                                                                                                                                                                                                                                                                                                                                                                                    	YTD                                	765
Advisory Committee                                                                                                                                                                                                                                                                                                                                                                                              	AC                                 	766
adverse event report                                                                                                                                                                                                                                                                                                                                                                                            	AER                                	767
Asia-Pacific Economic Cooperation Council                                                                                                                                                                                                                                                                                                                                                                       	APEC                               	768
Assistant United States Attorney                                                                                                                                                                                                                                                                                                                                                                                	AUSA                               	769
conference call                                                                                                                                                                                                                                                                                                                                                                                                 	CC                                 	770
Codex Committee on Pesticide Residues                                                                                                                                                                                                                                                                                                                                                                           	CCPR                               	771
Codex Committee on Veterinary Drugs in Foods                                                                                                                                                                                                                                                                                                                                                                    	CCVDF                              	772
case management                                                                                                                                                                                                                                                                                                                                                                                                 	CM                                 	773
consumer safety technician                                                                                                                                                                                                                                                                                                                                                                                      	CST                                	774
division director                                                                                                                                                                                                                                                                                                                                                                                               	DD                                 	775
Document Logging System (CBER)                                                                                                                                                                                                                                                                                                                                                                                  	DLS                                	776
dual-energy X-ray absorptiometry test                                                                                                                                                                                                                                                                                                                                                                           	DXA                                	777
Economic Commission for Europe                                                                                                                                                                                                                                                                                                                                                                                  	ECE                                	778
health hazard evaluation                                                                                                                                                                                                                                                                                                                                                                                        	HHE                                	779
International Dairy Federation                                                                                                                                                                                                                                                                                                                                                                                  	IDF                                	780
information request                                                                                                                                                                                                                                                                                                                                                                                             	IR                                 	781
Joint FAO/WHO Meeting of Pesticide Residues                                                                                                                                                                                                                                                                                                                                                                     	JMPR                               	782
Southern Common Market (South America)                                                                                                                                                                                                                                                                                                                                                                          	MERCOSUR                           	783
milestone                                                                                                                                                                                                                                                                                                                                                                                                       	MS                                 	784
non-governmental organization                                                                                                                                                                                                                                                                                                                                                                                   	NGO                                	785
Notice of Availability                                                                                                                                                                                                                                                                                                                                                                                          	NOA                                	786
National Vital Statistics System                                                                                                                                                                                                                                                                                                                                                                                	NVSS                               	787
Orphan Drug Act of 1983                                                                                                                                                                                                                                                                                                                                                                                         	ODA                                	788
Official Establishment Inventory                                                                                                                                                                                                                                                                                                                                                                                	OEI                                	789
Organic Foods Production Act of 1990                                                                                                                                                                                                                                                                                                                                                                            	OFPA                               	790
order of predominance [in the ingredients statement]                                                                                                                                                                                                                                                                                                                                                            	OOP                                	791
Approved Drug Products with Therapeutic Equivalence Evaluations                                                                                                                                                                                                                                                                                                                                                 	Orange Book                        	792
Oak Ridge Institute for Science and Education                                                                                                                                                                                                                                                                                                                                                                   	ORISE                              	793
Oak Ridge National Laboratory                                                                                                                                                                                                                                                                                                                                                                                   	ORNL                               	794
Occupational Safety and Health Review Commission (U.S.)                                                                                                                                                                                                                                                                                                                                                         	OSHRC                              	795
other than a food processing facility                                                                                                                                                                                                                                                                                                                                                                           	OTFP                               	796
production and process controls                                                                                                                                                                                                                                                                                                                                                                                 	P & PC                             	797
physical activity                                                                                                                                                                                                                                                                                                                                                                                               	PA                                 	798
Pharmaceutical Advertising Advisory Board (Canada)                                                                                                                                                                                                                                                                                                                                                              	PAAB                               	799
Pharmaceutical Affairs Bureau (Japan)                                                                                                                                                                                                                                                                                                                                                                           	PAB                                	800
post-approval changes                                                                                                                                                                                                                                                                                                                                                                                           	PAC                                	801
Patient-centered Assessment and Counseling for Exercise                                                                                                                                                                                                                                                                                                                                                         	PACE                               	802
patient assistance programs                                                                                                                                                                                                                                                                                                                                                                                     	PAP                                	803
Physical Activity Readiness Questionnaire                                                                                                                                                                                                                                                                                                                                                                       	PARQ                               	804
Public Affairs specialist                                                                                                                                                                                                                                                                                                                                                                                       	PAS                                	805
pharmacy benefits management                                                                                                                                                                                                                                                                                                                                                                                    	PBM                                	806
President's Council on Bioethics                                                                                                                                                                                                                                                                                                                                                                                	PCBE                               	807
polychlorinated biphenyls                                                                                                                                                                                                                                                                                                                                                                                       	PCBs                               	808
Poison Control Center                                                                                                                                                                                                                                                                                                                                                                                           	PCC                                	809
Preclinical and Clinical Evaluation Review Template (Canada)                                                                                                                                                                                                                                                                                                                                                    	PCERT                              	810
practical clinical trial                                                                                                                                                                                                                                                                                                                                                                                        	PCT                                	811
pediatric exclusivity                                                                                                                                                                                                                                                                                                                                                                                           	PDE                                	812
Prescription Drug Marketing Act of 1988                                                                                                                                                                                                                                                                                                                                                                         	PDMA                               	813
protected designation of origin                                                                                                                                                                                                                                                                                                                                                                                 	PDO                                	814
principal display panel                                                                                                                                                                                                                                                                                                                                                                                         	PDP                                	815
pharmacoeconomics                                                                                                                                                                                                                                                                                                                                                                                               	PE                                 	816
physical education                                                                                                                                                                                                                                                                                                                                                                                              	PE                                 	817
Pharmaceutical Evaluation Reports (EMEA)                                                                                                                                                                                                                                                                                                                                                                        	PER                                	818
Piper Fatigue Scale                                                                                                                                                                                                                                                                                                                                                                                             	PFS                                	819
protected health information                                                                                                                                                                                                                                                                                                                                                                                    	PHI                                	820
"Population, Health and Nutrition (Center)                                                                                                                                                                                                                                                                                                                                                                       "	PHN                                	821
Public Health Practice Program Office (CDC)                                                                                                                                                                                                                                                                                                                                                                     	PHPPO                              	822
Public Health Prevention Service (CDC)                                                                                                                                                                                                                                                                                                                                                                          	PHPS                               	823
Public Health Service Act of 1944                                                                                                                                                                                                                                                                                                                                                                               	PHSA                               	824
Public Health Training Network (CDC)                                                                                                                                                                                                                                                                                                                                                                            	PHTN                               	825
personal identification number                                                                                                                                                                                                                                                                                                                                                                                  	PIN                                	826
plant-incorporated protectant                                                                                                                                                                                                                                                                                                                                                                                   	PIP                                	827
phenylketonuria                                                                                                                                                                                                                                                                                                                                                                                                 	PKU                                	828
Prior Label Approval System (FSIS)                                                                                                                                                                                                                                                                                                                                                                              	PLAS                               	829
Product Licensing Framework (Canada)                                                                                                                                                                                                                                                                                                                                                                            	PLF                                	830
post-marketing                                                                                                                                                                                                                                                                                                                                                                                                  	PM                                 	831
Pharmaceutical Manufacturer's Association                                                                                                                                                                                                                                                                                                                                                                       	PMA                                	832
pharmacy benefit manager                                                                                                                                                                                                                                                                                                                                                                                        	PMB                                	833
premarket notification                                                                                                                                                                                                                                                                                                                                                                                          	PMN                                	834
